candidate,episode,score,conversions,expected_conversions,cost,actual_cpa,target_cpa,cpa_violation,budget_utilization,win_pv,last_compete_tick,wall_time_sec
pid,0,1.3631806761304874,10.0,7.660160048823427,2708.465384457685,270.84653844306007,100.0,1.7084653844306006,0.9339535808474776,10598,47,7.11
pid,1,0.1522144266548933,5.0,6.239810299262141,2865.6760787768667,573.1352157439106,100.0,4.731352157439106,0.9881641650954712,12320,47,6.28
pid,2,10.735942925153353,20.0,14.384307844583667,2729.7627081823116,136.48813540843315,100.0,0.3648813540843314,0.9412974855801074,13092,47,6.01
pid,3,0.6877858175810451,8.0,9.031964810643522,2728.402082657761,341.050260327957,100.0,2.41050260327957,0.9408283043647452,11199,47,6.05
upstream_iql,0,0.0,0.0,0.18660920855196647,13.405240489990412,134052404899.90411,100.0,1340524047.999041,0.0046224967206863485,97,46,6.69
upstream_iql,1,0.0,0.0,0.013585661421672866,0.6586879372177423,6586879372.1774235,100.0,65868792.721774235,0.0002271337714543939,9,3,6.14
upstream_iql,2,3.0,3.0,2.2595016231297302,194.26704127985474,64.75568042445973,100.0,0.0,0.06698863492408784,1509,47,6.26
upstream_iql,3,1.0,1.0,0.7883622001652104,55.48273041891361,55.48273041336534,100.0,0.0,0.019131976006521934,439,31,6.16
dt,0,0.6088293118814688,8.0,7.034815638923002,2899.9279238674044,362.4909904788944,100.0,2.624909904788944,0.9999751461611739,9657,42,6.69
dt,1,0.25685558163816824,6.0,5.190691018865324,2899.8956583243826,483.3159430460085,100.0,3.8331594304600847,0.999964020111856,12079,46,6.64
dt,2,4.871126053542609,16.0,8.125728631973326,2899.7816003760054,181.23635002236762,100.0,0.8123635002236762,0.9999246897848294,9653,43,6.61
dt,3,0.6087998893652811,8.0,8.084142326175554,2899.997997915469,362.49974973490237,100.0,2.6249974973490238,0.9999993096260238,9593,45,7.05
