episode,advertiser_id,strategy,budget,target_cpa,conversions,expected_conversions,cost,win_pv,compete_pv,score,budget_utilization,last_compete_tick,actual_cpa
0,0,dt,2900.0,100.0,14.0,12.48597346633165,2899.9404812983807,28415,329982,3.26291633473964,0.9999794763097865,33,207.13860580554763
0,1,upstream:iql,4350.0,70.0,41.0,43.301125042615304,3956.7140734464992,39646,499980,21.571399142373103,0.909589442171609,47,96.50522130333776
0,2,upstream:td3_bc,3000.0,90.0,35.0,37.94851667271387,2999.9015976644023,28984,470128,35.0,0.9999671992214675,43,85.71147421873803
0,3,upstream:onlinelp,2400.0,110.0,35.0,25.87491188007321,2376.5915428677267,25620,499980,35.0,0.9902464761948861,47,67.90261551031247
0,4,upstream:onlinelp,4800.0,60.0,34.0,32.754011584105925,2433.9198976045577,25835,499980,23.885079417626194,0.5070666453342828,47,71.58587934109997
0,5,upstream:cql,2000.0,130.0,17.0,20.644536553763466,1999.9380142057066,19152,470128,17.0,0.9999690071028533,43,117.64341259964368
0,6,upstream:bc,2050.0,120.0,22.0,24.739877237207093,2049.995946259723,15926,359209,22.0,0.9999980225657186,35,93.18163392047296
0,7,upstream:mopo,3500.0,80.0,42.0,39.29696722528481,3499.9917947678027,30700,435279,38.707381487337464,0.9999976556479436,41,83.33313797046355
0,8,pid,4600.0,70.0,33.0,40.167552930375564,4599.977995637597,42825,499980,8.321974702195652,0.9999952164429559,47,139.39327259465628
0,9,upstream:bcq,2000.0,130.0,27.0,26.528785146659516,1999.974945614748,18811,272500,27.0,0.9999874728073741,27,74.07314613360522
0,10,upstream:mopo,2800.0,100.0,18.0,14.758567747008096,1463.602224388013,17835,499980,18.0,0.522715080138576,47,81.31123468777122
0,11,upstream:onlinelp,2350.0,110.0,21.0,18.74130269520442,1546.411515068867,16830,499980,21.0,0.6580474532207945,47,73.63864357435729
0,12,upstream:onlinelp,2050.0,120.0,11.0,14.103665659222065,1266.7935734441814,15062,499980,11.0,0.6179480846069177,47,115.16305213024229
