candidate,episode,score,conversions,expected_conversions,cost,actual_cpa,target_cpa,cpa_violation,budget_utilization,win_pv,last_compete_tick,wall_time_sec
pid,0,0.6937554398549927,8.0,3.344659618080669,2716.638053018104,339.5797566230183,100.0,2.3957975662301827,0.9367717424200359,4385,47,4.93
pid,1,0.03251964256897452,3.0,2.369801945095433,2881.436149218149,960.4787163740336,100.0,8.604787163740337,0.9935986721441893,5058,47,4.81
pid,2,2.707366474727016,12.0,6.421048333346264,2526.3780867202904,210.53150722493643,100.0,1.1053150722493643,0.8711648574897554,5984,47,4.44
pid,3,0.01030286349973161,2.0,3.3725867702655727,2786.544741013554,1393.2723704371133,100.0,12.932723704371133,0.9608774969012255,4325,47,4.37
fixed_alpha_alpha120.0,0,0.0,0.0,0.1438417011939505,13.750380407627983,137503804076.27982,100.0,1375038039.762798,0.00474151048538896,122,1,4.77
fixed_alpha_alpha120.0,1,0.0,0.0,0.0746508183355557,7.08955149491823,70895514949.1823,100.0,708955148.491823,0.0024446729292821484,82,1,4.41
fixed_alpha_alpha120.0,2,0.0,0.0,0.2696208060826464,25.20659252775124,252065925277.5124,100.0,2520659251.775124,0.008691928457845255,195,44,4.36
fixed_alpha_alpha120.0,3,0.0,0.0,0.04061390932635616,4.056773182606321,40567731826.06321,100.0,405677317.2606321,0.0013988873043470071,29,26,4.32
upstream_iql,0,0.0,0.0,0.01989438054997028,1.1294252040330257,11294252040.330257,100.0,112942519.40330258,0.0003894569669079399,12,1,4.72
upstream_iql,1,0.0,0.0,0.003565985923470119,0.08189051714215125,818905171.4215124,100.0,8189050.714215124,2.8238109359362498e-05,1,0,4.67
upstream_iql,2,0.0,0.0,0.07170478672705063,5.369944831624805,53699448316.24805,100.0,536994482.1624805,0.001851705114353381,39,42,4.61
upstream_iql,3,0.0,0.0,0.0019241804028594636,0.2408779308259022,2408779308.2590218,100.0,24087792.08259022,8.306135545720765e-05,1,24,4.85
upstream_td3_bc,0,0.0,0.0,0.01932432345569802,1.1153343434708813,11153343434.708813,100.0,111533433.34708813,0.0003845980494727177,12,1,4.8
upstream_td3_bc,1,0.0,0.0,0.004106189273420923,0.08189051714215125,818905171.4215124,100.0,8189050.714215124,2.8238109359362498e-05,1,0,5.08
upstream_td3_bc,2,0.0,0.0,0.043387512484753615,2.803205339746565,28032053397.46565,100.0,280320532.97465646,0.0009666225309470913,21,42,4.64
upstream_td3_bc,3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0,-1,4.58
