deliveryPeriodIndex,advertiserNumber,advertiserCategoryIndex,budget,CPAConstraint,realAllCost,realAllConversion,timeStepIndex,state,action,reward,reward_continuous,done,next_state
1.0,0.0,0.0,2900.0,100.0,2869.839503288053,2.0,0.0,"(1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0004645938289065522, 1142.0, 0.0, 0.0)",15.000000000001334,0.0,0.0,0,"(0.9791666666666666, 1.0, 0.006968907433598903, 0.006968907433598903, 0.07164999291010543, 0.0004645938289065522, 0.0, 0.0, 0.07164999291010543, 0.0004645938289065522, 0.0, 0.0, 0.00048370063979671804, 534.0, 1142.0, 1142.0)"
1.0,0.0,0.0,2900.0,100.0,2869.839503288053,2.0,1.0,"(0.9791666666666666, 1.0, 0.006968907433598903, 0.006968907433598903, 0.07164999291010543, 0.0004645938289065522, 0.0, 0.0, 0.07164999291010543, 0.0004645938289065522, 0.0, 0.0, 0.00048370063979671804, 534.0, 1142.0, 1142.0)",18.000000000001645,0.0,0.0,0,"(0.9583333333333334, 1.0, 0.007837759474970313, 0.007837759474970313, 0.09892047808749785, 0.0004741472343516351, 0.0, 0.0, 0.09892047808749785, 0.0004741472343516351, 0.0, 0.0, 0.000480584889588107, 437.0, 1676.0, 1676.0)"
1.0,0.0,0.0,2900.0,100.0,2869.839503288053,2.0,2.0,"(0.9583333333333334, 1.0, 0.007837759474970313, 0.007837759474970313, 0.09892047808749785, 0.0004741472343516351, 0.0, 0.0, 0.09892047808749785, 0.0004741472343516351, 0.0, 0.0, 0.000480584889588107, 437.0, 1676.0, 1676.0)",21.600000000001874,0.0,0.0,0,"(0.9375, 1.0, 0.008685384188348211, 0.008685384188348211, 0.11302237039821877, 0.00047629311943045904, 0.0, 0.0, 0.11302237039821877, 0.00047629311943045904, 0.0, 0.0, 0.0004866695255024325, 239.0, 2113.0, 2113.0)"
1.0,0.0,0.0,2900.0,100.0,2869.839503288053,2.0,3.0,"(0.9375, 1.0, 0.008685384188348211, 0.008685384188348211, 0.11302237039821877, 0.00047629311943045904, 0.0, 0.0, 0.11302237039821877, 0.00047629311943045904, 0.0, 0.0, 0.0004866695255024325, 239.0, 2113.0, 2113.0)",25.92000000000249,0.0,0.0,0,"(0.9166666666666666, 1.0, 0.009667656666517224, 0.010567239744156664, 0.12494793479386446, 0.00047888722094845246, 0.0, 0.0, 0.14271391542178413, 0.0004836516849624191, 0.0, 0.0, 0.0004830957940463746, 321.0, 1210.0, 2352.0)"
1.0,0.0,0.0,2900.0,100.0,2869.839503288053,2.0,4.0,"(0.9166666666666666, 1.0, 0.009667656666517224, 0.010567239744156664, 0.12494793479386446, 0.00047888722094845246, 0.0, 0.0, 0.14271391542178413, 0.0004836516849624191, 0.0, 0.0, 0.0004830957940463746, 321.0, 1210.0, 2352.0)",31.104000000002788,0.0,0.0,0,"(0.8958333333333334, 1.0, 0.010739367648817737, 0.012673773098049353, 0.1347293223691674, 0.00047972893556803684, 0.0, 0.0, 0.15860188522361374, 0.00048345006971230474, 0.0, 0.0, 0.00048211189017872025, 222.0, 997.0, 2673.0)"
1.0,0.0,0.0,2900.0,100.0,2869.839503288053,2.0,5.0,"(0.8958333333333334, 1.0, 0.010739367648817737, 0.012673773098049353, 0.1347293223691674, 0.00047972893556803684, 0.0, 0.0, 0.15860188522361374, 0.00048345006971230474, 0.0, 0.0, 0.00048211189017872025, 222.0, 997.0, 2673.0)",37.324800000003684,0.0,0.0,0,"(0.875, 1.0, 0.011948594687105527, 0.015211805185862843, 0.14135232532729045, 0.0004801260946698174, 0.0, 0.0, 0.16968228025636214, 0.0004839590699091758, 0.0, 0.0, 0.00045120782532432133, 226.0, 782.0, 2895.0)"
1.0,0.0,0.0,2900.0,100.0,2869.839503288053,2.0,6.0,"(0.875, 1.0, 0.011948594687105527, 0.015211805185862843, 0.14135232532729045, 0.0004801260946698174, 0.0, 0.0, 0.16968228025636214, 0.0004839590699091758, 0.0, 0.0, 0.00045120782532432133, 226.0, 782.0, 2895.0)",44.78976000000379,0.0,0.0,0,"(0.8541666666666666, 1.0, 0.013128722618433305, 0.017743477220988086, 0.14717175730698737, 0.0004759949133347465, 0.0, 0.0, 0.17680352065781793, 0.00047213850318313875, 0.0, 0.0, 0.0004706524054250942, 202.0, 769.0, 3121.0)"
1.0,0.0,0.0,2900.0,100.0,2869.839503288053,2.0,7.0,"(0.8541666666666666, 1.0, 0.013128722618433305, 0.017743477220988086, 0.14717175730698737, 0.0004759949133347465, 0.0, 0.0, 0.17680352065781793, 0.00047213850318313875, 0.0, 0.0, 0.0004706524054250942, 202.0, 769.0, 3121.0)",53.747712000005805,0.0,0.0,0,"(0.8333333333333334, 1.0, 0.014649693533491385, 0.0211669033412808, 0.15063219745818282, 0.00047532709984604, 0.0, 0.0, 0.17713698927320853, 0.0004679907069760453, 0.0, 0.0, 0.00019232075303970592, 151.0, 650.0, 3323.0)"
1.0,0.0,0.0,2900.0,100.0,2869.839503288053,2.0,8.0,"(0.8333333333333334, 1.0, 0.014649693533491385, 0.0211669033412808, 0.15063219745818282, 0.00047532709984604, 0.0, 0.0, 0.17713698927320853, 0.0004679907069760453, 0.0, 0.0, 0.00019232075303970592, 151.0, 650.0, 3323.0)",64.4972544000124,0.0,0.0,0,"(0.8125, 1.0, 0.014400189867014995, 0.019303380226833932, 0.1497105892325643, 0.0004438819502008918, 0.0, 0.0, 0.16642711704311197, 0.0003713936612630405, 0.0, 0.0, 0.00020509649282768783, 171.0, 579.0, 3474.0)"
1.0,0.0,0.0,2900.0,100.0,2869.839503288053,2.0,9.0,"(0.8125, 1.0, 0.014400189867014995, 0.019303380226833932, 0.1497105892325643, 0.0004438819502008918, 0.0, 0.0, 0.16642711704311197, 0.0003713936612630405, 0.0, 0.0, 0.00020509649282768783, 171.0, 579.0, 3474.0)",77.39670528001659,0.0,0.0,0,"(0.7916666666666666, 1.0, 0.014547550161248455, 0.017858147761150467, 0.14898879083422636, 0.00042000340446357137, 0.0, 0.0, 0.15322853573111736, 0.00028935655043082933, 0.0, 0.0, 0.00019139372364519286, 391.0, 524.0, 3645.0)"
