deliveryPeriodIndex,advertiserNumber,advertiserCategoryIndex,budget,CPAConstraint,realAllCost,realAllConversion,timeStepIndex,state,action,reward,reward_continuous,done,next_state
7.0,0.0,0.0,2900.0,100.0,2899.988592754405,13.0,0.0,"(1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0006089429299002163, 12516.0, 0.0, 0.0)",15.000000000001002,0.0,0.0,0,"(0.9791666666666666, 1.0, 0.009134143948503854, 0.009134143948503854, 0.08741606755955988, 0.0006089429299002163, 0.0, 0.0, 0.08741606755955988, 0.0006089429299002163, 0.0, 0.0, 0.000615485769584752, 5853.0, 12516.0, 12516.0)"
7.0,0.0,0.0,2900.0,100.0,2899.988592754405,13.0,1.0,"(0.9791666666666666, 1.0, 0.009134143948503854, 0.009134143948503854, 0.08741606755955988, 0.0006089429299002163, 0.0, 0.0, 0.08741606755955988, 0.0006089429299002163, 0.0, 0.0, 0.000615485769584752, 5853.0, 12516.0, 12516.0)",18.000000000001247,0.0,0.0,0,"(0.9583333333333334, 1.0, 0.010106443900515079, 0.010106443900515079, 0.11314178737977183, 0.0006122143497424841, 0.0, 0.0, 0.11314178737977183, 0.0006122143497424841, 0.0, 0.0, 0.0006011434877726449, 4798.0, 18369.0, 18369.0)"
7.0,0.0,0.0,2900.0,100.0,2899.988592754405,13.0,2.0,"(0.9583333333333334, 1.0, 0.010106443900515079, 0.010106443900515079, 0.11314178737977183, 0.0006122143497424841, 0.0, 0.0, 0.11314178737977183, 0.0006122143497424841, 0.0, 0.0, 0.0006011434877726449, 4798.0, 18369.0, 18369.0)",21.600000000001614,0.0,0.0,0,"(0.9375, 1.0, 0.011065862378973418, 0.011065862378973418, 0.13413588251495498, 0.0006085240624192044, 0.0, 0.0, 0.13413588251495498, 0.0006085240624192044, 0.0, 0.0, 0.0006040990209555921, 2619.0, 23167.0, 23167.0)"
7.0,0.0,0.0,2900.0,100.0,2899.988592754405,13.0,3.0,"(0.9375, 1.0, 0.011065862378973418, 0.011065862378973418, 0.13413588251495498, 0.0006085240624192044, 0.0, 0.0, 0.13413588251495498, 0.0006085240624192044, 0.0, 0.0, 0.0006040990209555921, 2619.0, 23167.0, 23167.0)",25.92000000000206,0.0,0.0,0,"(0.9166666666666666, 1.0, 0.012213958440022613, 0.013240563270528865, 0.14396882194971738, 0.0006074178020533013, 0.0, 0.0, 0.16281974007976988, 0.0006069094261043298, 0.0, 0.0, 0.0005954056909039991, 2118.0, 13270.0, 25786.0)"
7.0,0.0,0.0,2900.0,100.0,2899.988592754405,13.0,4.0,"(0.9166666666666666, 1.0, 0.012213958440022613, 0.013240563270528865, 0.14396882194971738, 0.0006074178020533013, 0.0, 0.0, 0.16281974007976988, 0.0006069094261043298, 0.0, 0.0, 0.0005954056909039991, 2118.0, 13270.0, 25786.0)",31.104000000002433,0.0,0.0,0,"(0.8958333333333334, 1.0, 0.01347506647399398, 0.015720814856313246, 0.15166850460950623, 0.0006050153798234408, 0.0, 0.0, 0.1773529827626625, 0.0006002160665440787, 0.0, 0.0, 0.0006017291012649721, 1469.0, 9535.0, 27904.0)"
7.0,0.0,0.0,2900.0,100.0,2899.988592754405,13.0,5.0,"(0.8958333333333334, 1.0, 0.01347506647399398, 0.015720814856313246, 0.15166850460950623, 0.0006050153798234408, 0.0, 0.0, 0.1773529827626625, 0.0006002160665440787, 0.0, 0.0, 0.0006017291012649721, 1469.0, 9535.0, 27904.0)",37.32480000000278,0.0,0.0,0,"(0.875, 1.0, 0.014972458454811067, 0.018879054530648715, 0.15384145092596266, 0.0006044676667303627, 0.0, 0.0, 0.17354701933697037, 0.0006004112710415211, 0.0, 0.0, 0.0006032761453146491, 1497.0, 6206.0, 29373.0)"
7.0,0.0,0.0,2900.0,100.0,2899.988592754405,13.0,6.0,"(0.875, 1.0, 0.014972458454811067, 0.018879054530648715, 0.15384145092596266, 0.0006044676667303627, 0.0, 0.0, 0.17354701933697037, 0.0006004112710415211, 0.0, 0.0, 0.0006032761453146491, 1497.0, 6206.0, 29373.0)",44.789760000003604,0.0,0.0,0,"(0.8541666666666666, 1.0, 0.01669362064160526, 0.02266650357704879, 0.15239511960178911, 0.0006042974493852608, 0.0, 0.0, 0.16363018313788472, 0.0006001369791612067, 0.0, 0.0, 0.000604052025223478, 1338.0, 5084.0, 30870.0)"
7.0,0.0,0.0,2900.0,100.0,2899.988592754405,13.0,7.0,"(0.8541666666666666, 1.0, 0.01669362064160526, 0.02266650357704879, 0.15239511960178911, 0.0006042974493852608, 0.0, 0.0, 0.16363018313788472, 0.0006001369791612067, 0.0, 0.0, 0.000604052025223478, 1338.0, 5084.0, 30870.0)",53.74771200000403,0.0,0.0,0,"(0.8333333333333334, 1.0, 0.018665219846995935, 0.027315475468665872, 0.14955792025048756, 0.0006042667713650379, 0.0, 0.0, 0.14604027965212313, 0.0006030190906010331, 0.0, 0.0, 0.00034224105808345294, 1409.0, 4304.0, 32208.0)"
7.0,0.0,0.0,2900.0,100.0,2899.988592754405,13.0,8.0,"(0.8333333333333334, 1.0, 0.018665219846995935, 0.027315475468665872, 0.14955792025048756, 0.0006042667713650379, 0.0, 0.0, 0.14604027965212313, 0.0006030190906010331, 0.0, 0.0, 0.00034224105808345294, 1409.0, 4304.0, 32208.0)",64.49725440000842,0.0,0.0,0,"(0.8125, 1.0, 0.019043929707256005, 0.027186872212145875, 0.14622491538585985, 0.0005751528032226397, 0.0, 0.0, 0.13099184430565422, 0.0005165230762071933, 0.0, 0.0, 0.0003405857844165556, 1594.0, 4244.0, 33617.0)"
7.0,0.0,0.0,2900.0,100.0,2899.988592754405,13.0,9.0,"(0.8125, 1.0, 0.019043929707256005, 0.027186872212145875, 0.14622491538585985, 0.0005751528032226397, 0.0, 0.0, 0.13099184430565422, 0.0005165230762071933, 0.0, 0.0, 0.0003405857844165556, 1594.0, 4244.0, 33617.0)",77.39670528000971,0.0,0.0,0,"(0.7916666666666666, 1.0, 0.01977555849443531, 0.02696674681770542, 0.14315556830942472, 0.0005516961013420313, 0.0, 0.0, 0.12159661529390776, 0.0004289596225744955, 0.0, 0.0, 0.00033881363642339904, 3652.0, 4341.0, 35211.0)"
